WX_Type,Mean_Bias
11111,0.7843
11112,0.8831
11120,1.51035
11211,0.8156
11212,0.8681
11220,1.8354
11230,1.8129
12111,0.77315
12112,0.8446
12113,0.77835
12120,1.1831
12130,0.98925
12211,0.85185
12212,0.882
12213,0.73085
12221,1.2443
12222,1.22945
12230,1.55305
13111,0.80685
13112,0.79465
13113,0.69995
13120,0.8822
13211,0.823
13212,0.8483
13220,0.9772
13230,1.2635
13311,0.938
13312,0.97935
13320,1.2631
14111,0.7791
14112,0.72455
14113,0.48275
14120,0.54885
14211,0.8567
14212,0.838
14213,0.747
14221,0.9527
14222,0.81595
14223,0.6813
14230,0.7301
14311,0.99525
14312,0.97285
14320,1.08165
21111,0.8957
21112,1.1343
21113,1.1667
21120,1.7641
21130,2.44265
21211,0.93445
21212,1.1868
21213,0.9418
21220,2.02535
21230,1.9741
21311,1.1518
21312,1.3717
21320,1.498
22111,0.71605
22112,1.04705
22113,0.87215
22120,1.3256
22130,1.56545
22211,0.8857
22212,1.052
22213,0.9146
22220,1.56815
22230,1.6243
22311,1.0218
22312,1.20185
22320,1.5306
23110,0.7985
23120,1.06105
23130,1.17095
23211,0.84065
23212,0.9083
23213,0.81965
23221,0.80085
23222,1.2696
23230,1.43085
23311,0.93425
23312,1.04435
23320,1.1906
24110,0.6872
24120,0.75
24130,0.6786
24211,0.8643
24212,0.8643
24213,0.73825
24221,0.9266
24222,0.88835
24223,0.81355
24230,0.93605
24311,0.8504
24312,0.94045
24320,1.02425
31111,0.6983
31112,1.0943
31113,0.88175
31121,1.60155
31122,1.7628
31131,1.44265
31132,1.3316
31140,1.20645
31211,0.90575
31212,1.2331
31213,1.1405
31220,1.80785
31230,1.7278
31240,1.4315
31311,1.13065
31312,1.123
31320,1.66915
32111,0.6674
32112,1.04955
32113,0.80315
32120,1.6068
32130,1.58545
32140,1.0667
32211,0.8084
32212,0.95585
32213,0.81965
32221,1.12575
32222,1.4981
32230,1.49045
32240,1.29425
32311,0.96815
32312,1.0832
32320,1.3519
33110,0.7199
33120,1.12595
33130,1.1495
33211,0.73345
33212,0.83095
33220,1.2072
33230,1.35955
33311,0.83195
33312,0.917
33321,1.0255
33322,1.1782
34110,0.5676
34120,0.73625
34130,0.62875
34210,0.7945
34220,0.9434
34230,1.10095
34310,0.8318
34320,0.98435
35100,0.464
35200,0.73865
35300,0.78195
41111,0.5609
41112,0.73295
41113,0.7204
41121,0.9753
41122,1.0491
41131,1.15895
41132,1.2452
41141,0.9839
41142,1.26895
41211,0.6758
41212,0.6356
41213,0.57295
41221,0.64175
41222,1.0366
41223,0.99655
41230,1.37525
41240,1.20895
41311,0.85445
41312,0.7093
41313,0.6294
41320,1.17795
42111,0.58255
42112,0.63595
42113,0.56205
42120,0.8532
42130,0.9593
42140,0.73545
42211,0.6461
42212,0.69855
42213,0.57345
42221,0.56735
42222,0.95585
42223,0.85075
42230,0.97685
42240,0.858
42311,0.75355
42312,0.6635
42321,0.81065
42322,1.021
43110,0.52015
43120,0.68365
43130,0.73845
43141,0.53955
43142,0.5422
43211,0.50895
43212,0.6026
43220,0.75
43230,0.7548
43240,0.6784
43311,0.5835
43312,0.70365
43320,0.72235
44110,0.46185
44120,0.45895
44130,0.4651
44140,0.35125
44210,0.4665
44220,0.59145
44230,0.57635
44240,0.52735
44310,0.53515
44320,0.69745
45100,0.3293
45200,0.4617
45300,0.54985
99999,1
